regiao	cidade	hospital	Prata Pró ABCDM Enf	Prata Pró ABCDM Quarto	Prata Pró Enf	Prata Pró Quarto	Ouro Pró Quarto	Diamante Pró Quarto	P220 Enf	P220 Quarto	P320 Enf	P320 Quarto	P420 Quarto	P470 Quarto	P520 Quarto	Bronze Brasil I Enf	Bronze Brasil I Quarto	Prata Mais I Enf	Prata Mais I Quarto	Ouro Mais I Quarto	Ouro Max I Quarto	Diamante Mais I Quarto
São Paulo - Zona Sul	Vila Clementino	Edmundo Vasconcelos	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Paraíso	H e Mat Sta Maria	-	-	-	-	-	-	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	-	-	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
São Paulo - Zona Sul	Vila Mariana	H Sta Cruz	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Paraíso	HCOR	-	-	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Sul	Brooklin Paulista	Sta Paula	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Capão Redondo	H Central Sul	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Monte Alegre	Pronto Baby PS Infantil	-	-	-	-	-	-	H¹,PSP	H¹,PSP	H¹,PSP	H¹,PSP	H¹,PSP	H¹,PSP	H¹,PSP	-	-	-	-	-	-	-
São Paulo - Zona Sul	Paraíso	Santa Joana	-	-	-	-	-	-	-	-	-	-	M,PS¹	M,PS¹	M,PS¹	-	-	-	M,PS¹	M,PS¹	M,PS¹	M,PS¹
São Paulo - Zona Sul	Vila Parque Jabaquara	H da Criança - Jabaquara	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H¹,PSP	H¹,PSP	H¹,PSP	H¹,PSP	H¹,PSP
São Paulo - Zona Sul	Vila Parque Jabaquara	H e Mat São Luíz - Jabaquara	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Mariana	H Luz - Vl Mariana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Sul	Itaim Bibi	Sírio Libanês - Itaim	-	-	-	-	-	H¹	-	-	-	-	-	H¹	H¹	-	-	-	-	-	H¹	H¹
São Paulo - Zona Sul	Chácara Santo Antônio (Zona Sul)	Sta Isabella	-	-	PSP	PSP	PSP	PSP	-	-	-	-	-	-	-	-	-	-	-	-	-	-
São Paulo - Zona Sul	Vila Nova Conceição	H e Mat São Luíz - Itaim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS
São Paulo - Zona Sul	Vila Olímpia	M São Luíz Star	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M,PS¹	M,PS¹	M,PS¹
São Paulo - Zona Sul	Jardim Leonor	Albert Einstein Morumbi	-	-	-	-	-	-	-	-	-	-	-	-	H,M,PS	-	-	-	-	-	-	H,M,PS
São Paulo - Zona Sul	Vila Firmiano Pinto	CM Albert Einstein - C. Klabin	-	-	-	-	-	-	-	-	-	-	-	-	PS	-	-	-	-	-	-	PS
São Paulo - Zona Sul	Ibirapuera	CM Albert Einstein	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	-	-	-	-	-	-	H,PS
São Paulo - Zona Sul	Vila Nova Conceição	H Vila Nova Star	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS
São Paulo - Zona Leste	Vila Formosa	Sagrada Família Vl Formosa	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Leste	Vila Carmosina	Sta Marcelina	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Leste	Vila Campanela	Cema - Itaquera	-	-	-	-	-	-	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹	PS¹
São Paulo - Zona Leste	Quarta Parada	Cema - ZL Belém	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Leste	Jardim Helena	H Jd Helena	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Leste	Cidade Nitro Operária	H São Miguel	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Leste	Brás	IBCC	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
São Paulo - Zona Leste	Jardim Belém	São Miguel - Ermelino Matarazzo	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Leste	Brás	Sta Virginia	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Leste	Vila Regente Feijó	Vitória - Anália Franco	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Leste	Vila Iolanda(Lajeado)	H Central Leste	-	-	-	-	-	-	-	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Leste	Quarta Parada	H Central Tatuapé	-	-	-	-	-	-	-	-	-	-	-	-	-	H	H	H	H	H	H	H
São Paulo - Zona Leste	Moóca	H San Gennaro -SP	-	-	-	-	-	-	-	-	-	-	-	-	-	H	H	H	H	H	H	H
São Paulo - Zona Leste	Alto Da Moóca	H Villa Lobos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Leste	Tatuapé	H São Luíz - Anália Franco	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Norte	Santana	HSANP	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Norte	Parque Novo Mundo	Nipo Brasileiro	-	-	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS	H,M,PS
São Paulo - Zona Norte	Santana	São Camilo Santana	-	-	H,PS	H,PS	H,PS	H,PS	-	-	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS	H,PS
São Paulo - Zona Norte	Canindé	Cema - Santana	-	-	-	-	-	-	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
