regiao	cidade	hospital	Bronze SP Enf	Bronze SP Mais Enf	Prata Enf	Prata Quarto	Ouro Enf	Ouro Quarto	Ouro II Quarto	Platinum R1 Quarto	Platinum R2 Quarto	S380 Enf	S380 Quarto	S450 Enf	S450 Quarto	S750 R1 Quarto	S750 R2 Quarto	S750 R3 Quarto	Black I R1 Quarto	Black I R2 Quarto	Black I R3 Quarto	S2500 R1 Quarto	S2500 R2 Quarto	Black II R1 Quarto	Black II R2 Quarto	Black II R3 Quarto	S6500 Black R1 Quarto	S6500 Black R2 Quarto	S6500 Black R3 Quarto
Alto Tietê	Arujá	Ipiranga (AMA)	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Alto Tietê	Suzano	H Sta Maria de Suzano	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹	H,M,PS¹
Alto Tietê	Guararema	Sta Casa	-	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS	H¹,M,PS
Alto Tietê	Santa Isabel	Sta Casa	-	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Alto Tietê	Mogi das Cruzes	H e Mat Mogi Mater	-	-	M,PS¹	M,PS¹	H¹,M,PS¹	H¹,M,PS¹	M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Alto Tietê	Suzano	H Saint Nicholas	-	-	PS¹	PS¹	H¹,PS¹	H¹,PS¹	PS¹	H¹,PS¹	H¹,PS¹	PS¹	PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹	H¹,PS¹
Alto Tietê	Mogi das Cruzes	H Biocor	-	-	-	-	H¹	H¹	-	H¹	H¹	-	-	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹	H¹
Baixada Santista	Cubatão	H Ana Costa	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA
Baixada Santista	Santos	H Ana Costa - Dr Aloísio F	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H	H	H	H	H	H	H	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹	H¹,M,PS¹
Baixada Santista	Guarujá	H Ana Costa	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS	PA,PS
